ISBN10,ISBN13,Title,Author,Cover,Publisher,Pages
195153448,9.78E+12,Classical Mythology,"Mark P. O. Morford,Robert J. Lenardon",http://www.openisbn.com/cover/0195153448_72.jpg,"Oxford University Press, USA",844
2005018,9.78E+12,Clara Callan: A Novel,Richard Bruce Wright,http://www.openisbn.com/cover/0002005018_72.jpg,HarperFlamingoCanada,414
60973129,9.78E+12,Decision In Normandy,Carlo D'Este,http://www.openisbn.com/cover/0060973129_72.jpg,HarperPerennial,555
374157065,9.78E+12,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,Gina Kolata,http://www.openisbn.com/cover/0374157065_72.jpg,"Farrar, Straus And Giroux",256
393045218,9.78E+12,The Mummies Of Urumchi,"Elizabeth Wayland Barber,E. J. W. Barber",http://www.openisbn.com/cover/0393045218_72.jpg,W. W. Norton &amp; Company,240
399135782,9.78E+12,The Kitchen God's Wife,Amy Tan,http://www.openisbn.com/cover/0399135782_72.jpg,G. P. Putnam's Sons,415
425176428,9.78E+12,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,http://www.openisbn.com/cover/0425176428_72.jpg,Berkley Trade,416
671870432,9.78E+12,Pleading Guilty,"Scott Turow,Stacy Keach",http://www.openisbn.com/cover/0671870432_72.jpg,Simon &amp; Schuster Audio,0
679425608,9.78E+12,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,David Cordingly,http://www.openisbn.com/cover/0679425608_72.jpg,Random House,296
771074670,9.78E+12,Nights Below Station Street,David Adams Richards,http://www.openisbn.com/cover/0771074670_72.jpg,Emblem Editions,225
887841740,9.78E+12,The Middle Stories,Sheila Heti,http://www.openisbn.com/cover/0887841740_72.jpg,House Of Anansi Press,160
1552041778,9.78E+12,Jane Doe,J. R. Kaiser,http://www.openisbn.com/cover/1552041778_72.jpg,Mira Books,0
1558746218,9.78E+12,A Second Chicken Soup For The Woman's Soul (Chicken Soup For The Soul),"Jack Canfield,Mark Victor Hansen,Jennifer Read Haw",http://www.openisbn.com/cover/1558746218_72.jpg,HCI,328
1567407781,9.78E+12,The Witchfinder (Amos Walker Series),"Loren D. Estleman,John Kenneth",http://www.openisbn.com/cover/1567407781_72.jpg,Nova Audio Books,0
1575663937,9.78E+12,More Cunning Than Man: A Social History Of Rats And Man,Robert Hendrickson,http://www.openisbn.com/cover/1575663937_72.jpg,Kensington,288
1881320189,9.78E+12,Goodbye To The Buttermilk Sky,Julia Oliver,http://www.openisbn.com/cover/1881320189_72.jpg,River City Pub,191
440234743,9.78E+12,The Testament,John Grisham,http://www.openisbn.com/cover/0440234743_72.jpg,Dell,544
452264464,9.78E+12,Beloved (Plume Contemporary Fiction),Toni Morrison,http://www.openisbn.com/cover/0452264464_72.jpg,Longman,275
609804618,9.78E+12,Our Dumb Century: The Onion Presents 100 Years Of Headlines From America's Finest News Source,"The Onion,Scott Dikkers,Mike Loew",http://www.openisbn.com/cover/0609804618_72.jpg,Three Rivers Press,176
1841721522,9.78E+12,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,"Celia Brooks Brown,Jane Noraika,Philip Webb",http://www.openisbn.com/cover/1841721522_72.jpg,Ryland Peters &amp; Small,144
1879384493,9.78E+12,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others? You Can't Afford To Make Them All Yourself!,J. R. Parrish,http://www.openisbn.com/cover/1879384493_72.jpg,Cypress House,136
61076031,9.78E+12,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate &amp; Ashley Starring In),Mary-kate &amp; Ashley Olsen,http://www.openisbn.com/cover/0061076031_72.jpg,HarperEntertainment,128
439095026,9.78E+12,Tell Me This Isn't Happening,Robynn Clairday,http://www.openisbn.com/cover/0439095026_72.jpg,Scholastic,144
689821166,9.78E+12,Flood : Mississippi 1927,"Kathleen Duey,Karen A. Bale,Bill Dodge",http://www.openisbn.com/cover/0689821166_72.jpg,Aladdin,176
971880107,9.78E+12,Wild Animus: A Novel,Rich Shapero,http://www.openisbn.com/cover/0971880107_72.jpg,Too Far Pub,315
345402871,9.78E+12,Airframe,Michael Crichton,http://www.openisbn.com/cover/0345402871_72.jpg,Ballantine Books,448
